arg argument
arr array
calc calculate
cart cartesian
coef coefficient
col column
conf configuration
coord coordinate
delim delimiter
deriv derivative
det determinant
diff difference
dim dimension
dir directory
dist distance
elec electron
elem element
func function
i index
fi first index
li last index
init initialization
inv inverse
io input/output
len length
log logarithm(ic)
mat matrix
max maximal
min minimal
mol molecule
msg message
n number
orb orbital
pos position
ref reference
res result
rot rotation
stat status
symb symbol
tol tolerance
tot total
util utility
val value
var variable
vec vector
